,business_id,date,review_id,stars,type,user_id,cool,useful,funny,first_word,second_word,third_word,fourth_word,fifth_word,sixth_word,seventh_word,eighth_word,ninth_word,tenth_word,elevnth_word,twelfth_word,thirteenth_word,fourteenth_word,fifteenth_word,sixteenth_word,seventeenth_word,eighteenth_word,nineteenth_word,twentieth_word
46,aRkYtXfmEKYG-eTDf_qUsw,2009-04-04,Ckk1Cne1GHwzmJfo7M4r2w,5,review,IUWjTmXc3wLVaMHz33inaA,2,1,1,(Un)fortunately,for,"me,",lux,is,close,to,my,house.,,I,walk,there,nearly,every,day,and,am,much,poorer
47,JuBygU4XDjqSeW9okyvbsQ,2010-09-25,bu9S6tFKuTrMcNxQaQYMQA,3,review,1MyXsAhZK35A6EAr4reLCA,0,1,1,After,watching,her,win,on,Cupcake,Wars,I,was,determined,to,find,this,place,(It's,very,well,hidden)and,sample,the
48,jRfdz5voj40P6WS9L54caw,2012-01-03,V75NCU3EhqTDwPj5In94DQ,4,review,r-t7IiTSD0QZdt8lOUCqeQ,0,1,0,Good,for,an,easy,and,leisurely,business,lunch,or,outing,with,the,girls.,,The,market,downstairs,is,great,for
49,7SO_rX1F6rQEl-5s3wZxgQ,2011-10-03,GxaYFCprt-wyqO--vB4PHQ,4,review,J3I2NClEbD1Xr8lOdjxlqQ,1,2,1,After,my,last,"review,",somewhat,scathing,regarding,the,"burgers,",I,got,an,invite,from,the,management,to,come,"down,",meet
50,EC9WB-iVjd28B6R6KIZ8TA,2010-08-04,RZZ9Tf5GWYwrcjg-ACiKmQ,4,review,jdoGEEy5s-5L1O_lNzEi2g,1,0,1,Cliff,"notes
-",Cheap:,"$1-2/plate
-",Fast:,It's,ready-to-go,and,on,a,"conveyor
-",Acceptable,quality:,I'm,here,weekly,and,haven't,gotten,sick
51,zp713qNhx8d9KCJJnrw1xA,2010-02-01,Bmt1QRDT0GfyXkhOvj_BfQ,5,review,aqqbh1NZoFk48kp0eqSLdg,3,2,1,Fred,M.,pretty,much,said,what,I,would,"say,",so,I,won't,beat,a,dead,horse.,,I'll,"add,","though,"
52,pWPzxPPXN4IqI7RUU_8KKw,2007-10-29,V4hBluqV-xbgzk7Y6y9kzw,4,review,ynGxw3zZqAjahVou563zXQ,1,2,0,I,have,no,idea,whether,there,is,a,Japanese,community,in,this,part,of,"town,",but,New,Tokyo,would,suit
53,LDJhwZN14AZOJyHjg2lkRw,2011-12-13,hHwQaL3QN2xgTBSCQ26wIA,4,review,Mb0psF4WQF7gZSuZafVr-g,0,0,0,We,got,passes,for,the,preview,of,Mission,Impossible,(Ghost,Protocol).,,We,enjoyed,the,movie,a,lot.,,The
54,K8pM6qQdYu5h6buRE1-_sw,2009-08-06,GOconNmWgg6cJbgwSwrozw,5,review,yy1SbjeyWiAhWfSr5d0new,2,3,3,"Alright,",I,have,been,away,from,Yelp,for,quite,some,"time,",and,I,feel,that,this,place,is,fitting,to
55,FCcFT610nQBVcRdY-devQA,2012-01-14,6jRs2P6zTYMn36fVnCu1Zw,4,review,40aklZ2SQPKnlTPZdvAqww,0,1,0,In,our,continuing,quest,to,identify,"cool,",locally,owned,places,to,eat,and/or,"drink,",Caroline,and,I,auditioned,Vintage,95
56,tA2DT7CGQPzgA6tTcTkXDw,2009-09-02,VyX6x7wnThr9g9Z6VBDIgA,2,review,UL9chyH0a4Pj8J_9M6WSpA,1,2,2,I,have,to,add,to,Andrew's,"review.....

I",just,can't,believe,the,things,that,"happened!!

Yes",the,app,was,good.,,The
57,o5x6DF0KK1OBsiUOx2gavg,2010-02-04,IRGqHYbK5AOEv5MNYMz7cQ,4,review,xw77viWz_BbmyntxoBVH4A,0,0,0,This,would,most,certainly,be,"""my""",coffee,shop,if,I,hadn't,already,established,myself,as,a,regular,at,another,local
58,AaKlegu7gmOCD4rEESF76Q,2010-04-24,9CXNIZTV9uStuNbvvFS8uw,4,review,uA18GuF_ezOH6tXkrrykbw,0,0,0,No,matter,what,I,order,I,know,it,will,be,tasty.,Maizie's,have,a,lot,to,choose,from,which,can
59,E6DnUFy3GoN4DxTqturtug,2010-09-28,nzSOTOZiAb1ITqbRgWKnnQ,5,review,U3uT-Phb8iL2iuZpAROZlg,0,0,0,This,restaurant,is,"incredible,",and,has,the,best,pasta,carbonara,and,the,best,tiramisu,I've,had,in,my,life.,All
60,znBnrQNq1FdUt5aIGAbyuQ,2012-06-08,9BJJwIciVG-JPlXetInbXw,4,review,wJzMpk54FF2jeENqMBJ24Q,0,2,0,One,of,the,spot,my,coworkers,and,I,go,to,for,lunch.,We,usually,try,to,get,there,before,11am
61,l4vBbCL9QbGiwLuLKwD_bA,2011-11-22,DJVxOfj2Rw9zklC9tU3i1w,1,review,EPROVap0M19Y6_4uf3eCmQ,0,0,0,I,have,always,been,a,fan,of,Burlington's,"deals,",however,I,will,not,be,shopping,at,this,one,again.,I
62,YeDYa6tYL16CyqYvUVOtLw,2008-01-28,J2Ig5cV9fJU-KGewdzQXOA,3,review,gTCM7qlVrwdml-hFB6aJqQ,0,2,1,If,I,could,give,4,stars,for,atmosphere,and,3,stars,for,food,I,"would.

With",all,the,hype,of,getting
63,P5uC-zfGG6yqoQDUyqyAvg,2010-02-05,rghv_qgXpluzDE9qn8CNrw,4,review,nM3vfxr6fcnN_nXdzwbVCw,2,2,1,It,is,romantic,here,even,if,you,are,with,just,friends.,The,waitress,kneels,at,the,couch,to,speak,with
64,CEswyP-9SsXRNLR9fFGKKw,2012-05-19,GXj4PNAi095-q9ynPYH3kg,1,review,MjLAe48XNfYlTeFYca5gMw,0,1,2,Another,night,meeting,friends,here.,,I,have,to,laugh.,,Waited,another,20,minutes,for,my,beer,to,be
65,6Ry-gjGqApTSRZkfdYlLmw,2011-05-04,LN4l4wklQB0IVBjm-vq9TA,1,review,rWN1pg3mCF2btJWtG6JmJA,0,1,0,Not,busy,at,all,but,took,nearly,45,min,to,get,our,meal.,,Ordered,the,trout,and,was,shocked
66,taSsiZAGZSz2gRg7_M4XDw,2011-12-30,L_q9kLaGo33j2Ij8yUIGDw,5,review,0jJhjgr3wPin-8vYnPab6A,0,0,0,This,an,incredible,church,that,embraces,the,principle,that,......Christ,Life,Church,exists,to,bring,people,into,a,life-changing,relationship
67,3oLy0rlzRI_xiqfQHqC4_g,2011-04-28,dY_p1YkjZxJmREb9Lfc5vw,5,review,-yg_AMAU2HNh48zcuQ13mw,0,1,0,This,is,our,favorite,breakfast,place.,The,food,is,good.,They,have,the,best,biscuits,&,gravy,of,any,restaurant
68,0QTn4pMzKv1mnQifcP9YoQ,2011-08-14,mTcLzmYunqJIGKgklFWICg,4,review,UHyDQ-laihWMGa8MtIToOg,0,0,0,The,best,sweet,and,sour,soup,ever!,,Food,is,delicious,and,favorable.,,Delivery,is,pretty,"good,",nice,people.
69,N5iW2JG5e-QyUh7brRNSfw,2012-01-05,-_hed9F2kUDdb4oa1CXKIA,5,review,xP3o3-r0KRUnZqBSdIGJjw,0,0,0,I,had,looked,at,several,invitation,websites,along,with,catalogs,with,no,luck,in,finding,just,the,right,balance,of
70,_HTE4pOKeJC7kcxiCF9vTA,2010-05-22,xNvNTC2iXwJiiujNK6Sphg,4,review,XqMkm-DD9VsdcKx2YVGhSA,2,3,0,Every,now,and,then,my,Vietnamese,side,craves,for,PHO...are,you,surprised!?,,Noodle,Ranch,is,my,local,Pho,joint.
71,NNGJQF3WeIHzGzweCpZ-VA,2011-04-23,jNewOjPp56NMDrKlajrgFQ,1,review,5je-Jg8tq5BWxJtDBmTK2Q,0,6,1,"Yikes,",reading,other,reviews,I,realize,my,bad,experience,wasn't,unique.,As,a,server,I,make,a,very,laid,back
72,3HciJAVduCRoPDdzgh7cAA,2008-04-25,WONOXuKoiT2hkKITvTfC0g,4,review,IE_nJq65Qpso5fN4tG9zjQ,0,1,0,This,is,your,typical,Buffalo,Exchange.,I've,been,to,others,in,San,Francisco,and,San,"Diego,",and,they're,all,pretty
73,4meJyPOhuAKzywUJTmu2hw,2008-06-23,IC2EAv_PGx44FnTvfAs_FA,4,review,t8vH6ubd-6i9DTisZaQdgg,0,0,0,Though,perhaps,not,the,place,you,may,pick,for,a,special,brunch,with,champagne,and,chocolate,brioche,French,toast,(a
74,pRmHreZcF7YmNEEPukfcFg,2008-06-13,SWdrx60taMa442b1enwfCw,5,review,iwWBF3nKoRMoy1sbkLJwvg,3,7,1,I,absolutely,love,this,little,spot!,It's,a,great,little,known,boutique,with,incredibly,unique,gift,items,that,I,don't
75,s9XNBJAZ3ZcNW5u8BRZXuw,2010-09-21,UxzU0E5eM_ZgIMus-wpS8g,4,review,BUeMRVgAQvBWnnrI2xcA1Q,0,2,0,Great,Southwestern,restaurant.,,The,food,is,"incredible,",especially,the,stacked,enchiladas.,,Normally,I,do,not,eat,heavy,"foods,"
76,Xq9tkiHhyN_aBFswFeGLvA,2011-06-24,QqUj8brMiWkMicmlWtpPrw,4,review,GVH_iuoPc0aP3ZNYlWuKag,1,1,1,Went,back,to,AB,a,few,weekends,"ago,",again,for,"brunch,",with,a,large,group.,,I,was,surprised,to
77,ImghNwml8N-ncAqhXe00hg,2012-09-20,gLHPqclZG51HH9EGzOFjxQ,4,review,aLTl_OkLo0BFRxdz1n6sYA,0,1,0,Great,"prices,",great,food.,The,staff,is,very,friendly...,I'll,definitely,be,coming,back,here,for,lunch,on,a,more
78,cBpJIOrVXotDI0XAZH_k0g,2011-08-18,ZXp8gEhfE7BHgRYIgnd3gQ,5,review,O3huqF3nBeWP9Zd6NmCAaQ,1,1,0,Came,here,with,a,large,group,a,while,back.,,We,were,there,to,eat,and,have,a,beer,before
79,FkHhy6kWeoJf0xJTqzRWmg,2012-09-17,odua8qFSMEXSFYmElQTspQ,1,review,68exKLCQnnZrvXNFOcIUnA,0,0,0,This,is,my,first,year,participating,in,Arizona,to,sell,"clothing,",just,wandering,how,busy,its,goona,be,in,there
80,c1yGkETheht_1vjda7G5sA,2011-03-28,vwHmBJ5YKbZxNFtmP2KpRQ,4,review,YBVdmm5zlpLpi2_DiKsd2A,0,0,0,The,vibe,exuding,from,this,place,is,pure,awesomeness.,Reminiscent,of,a,trendy,hipster,coffee,"joint,",this,is,actually,a
81,5kRug3bEienrpovtPRVVwg,2012-06-29,BslISEau8Pk2voEPN7kY-g,4,review,gcyEUr4DXcbjnGRAWFtfAQ,0,1,0,Rokerij,is,worth,the,hype.,We,popped,in,last,week,for,a,late,bite,and,left,super,happy.,We,scored
82,d7_jkx0VPx3uHsUl18iHMQ,2009-06-16,xE2MKvzes5Twg-jfAe8s4Q,5,review,mfvezpz6ohS0NQk3DZdvqQ,11,16,8,Beer...or,"Yoga?

Located",in,a,small,center,just,east,of,Four,Peaks,Brewery,in,Tempe,(a,reasonable,distance,from,the,light
83,8ZwO9VuLDWJOXmtAdc7LXQ,2010-10-31,bxPZPvBJp5HwyKVHhcUMLQ,4,review,qLCpuCWCyPb4G2vN-WZz-Q,0,0,0,Great,hotel,in,Central,Phoenix,for,a,"stay-cation,",but,not,necessarily,a,place,to,stay,out,of,town,and,without
84,LzpR_jE6VIutJ08s2cdRrw,2009-03-18,EUCqs_gfKZi1YoKVkWjSYw,1,review,HY9qpAamqLXFoa7xMwNntg,1,1,3,"really,",I,can't,believe,this,place,has,received,such,high,reviews,from,"people.

my",lady,and,i,walked,"in,",and,were
85,5GpvSL1tlAjpgdJKZ5eLpg,2012-12-30,1RSEAeAWilUywt1B3SAkSA,4,review,P-9g9-6OriX0ElKpZknUKA,0,0,0,Great,place,to,have,a,meal,with,"family,",can,be,a,little,on,the,loud,side,cause,ita,always,a
86,O-Xa9GCFWI65YiBD5Jw_hA,2011-04-22,pyCM8bH0z8fp6cWg6f2hKQ,5,review,qT17WVkJi0RvQ4nNPN6NDw,2,1,0,Figured,it,is,time,to,write,a,review,after,going,here,for,quite,a,few,years,for,dinner,on,special
87,9lDZ2d6oRpFsSWwDCCDQOw,2009-01-31,WD99RuBcxqvYRCFTf_mT3A,4,review,Y9LxzNvQxKwLhy2Zo7R_4w,0,0,0,I,was,only,able,to,play,the,front,9;,my,wrist,was,hurting,too,much,to,"finish,",which,is,a
88,vARjqeIkSNsazHltujiq4Q,2010-05-18,aRcp0rlSuAiuF-CDDZx9nQ,5,review,ZoBrIw-7VgCOO30GJVCoOA,0,0,0,I,can't,describe,to,you,how,amazing,these,gourmet,adult,hot,pockets,taste!,They,literally,MELT,in,your,mouth-,a
89,145SQ_msdQ1yo7J0E63VoA,2011-03-15,VqNdpXrssjJrC0Z_swPUdA,1,review,ASi6ZgbbwXIwU2H24uANmQ,0,1,0,I,was,really,excited,about,this,"event,",maybe,my,expectations,were,too,"high,",because,I,was,really,underwhelmed.,,Very
90,hW0Ne_HTHEAgGF1rAdmR-g,2010-07-06,6iEP6dvHIefVMMnjeDRNcQ,1,review,8tbXmjYGsYFZXk6ppuwRWQ,7,7,9,The,beach,paradise,of,Ixtapa-Zihuatenejo,awaited,"us....unfortunately,",so,did,a,connecting,flight,in,ARIZONA,of,all,"places...

Long",story,short....1/3,of
91,Hgbxen9iKGL4AH6kKgC8YQ,2012-12-29,CxVOhu043DTW4zPTsQnJPA,5,review,cwm_3br1CTH8IO8ZwWzFLg,0,0,0,So,very,Portlandia,in,its,hipsterness,and,decor.,Premium,coffee,roasted,"in-house,",in,the,middle,of,the,"desert,",no,less!
92,yb17xHvhDJthJGS10uhFeQ,2009-01-21,ZbSLbPWeDfSL1HxyiSRqEg,4,review,7izaZThzAWk2UjrDTL849w,2,3,1,This,is,a,little,hockey,dive-bar,located,in,the,Arcadia,area.,,TV,screens,hang,above,the,bar,&,as
93,0QrA-Klgp1R-GzUr6uJS7Q,2010-01-23,pMm0qHdnBWd_PWGyYEOnWg,4,review,H4ewd_HH1DE0Y8RbC_7HbA,3,2,2,Love,this,place.,"Actually,",today,was,"awesome,",because,they,usually,only,offer,the,"""express","dozen""",through,the,drive,"thru,",and
94,hfl62LX14YqNpG0g0Tj6_Q,2011-04-15,E6-DKEktgxA_fLEnfguAwA,4,review,ziCKT5n58tcVfgksImx0VQ,1,1,0,I,grew,up,on,Empanadas,in,Panama,and,I,have,been,hard,pressed,to,find,anything,close,to,them,in
95,rRe2eLIQ4MQ7d6vFL26Qdg,2011-06-15,i5Ms8r5AMRa-wcU5-necFA,5,review,Gi_ZP3Pjdvc9-a8aS3SH0A,0,2,0,Awesome,subs,clean,and,friendly,well,priced.,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
